timestamp,elapsed_time_s,abs_fz_N
2025-09-08 23:52:15.174,0.931,0.008515
2025-09-08 23:52:15.181,0.938,0.012414
2025-09-08 23:52:15.188,0.945,0.023531
2025-09-08 23:52:15.195,0.952,0.020229
2025-09-08 23:52:15.202,0.959,0.015545
2025-09-08 23:52:15.209,0.966,0.011555
2025-09-08 23:52:15.216,0.973,0.012581
2025-09-08 23:52:15.223,0.980,0.012859
2025-09-08 23:52:15.230,0.987,0.020435
2025-09-08 23:52:15.237,0.994,0.024625
2025-09-08 23:52:15.244,1.001,0.025099
2025-09-08 23:52:15.278,1.035,0.058300
2025-09-08 23:52:15.285,1.042,0.065824
2025-09-08 23:52:15.292,1.049,0.072903
2025-09-08 23:52:15.299,1.056,0.072903
2025-09-08 23:52:15.306,1.063,0.076770
2025-09-08 23:52:15.313,1.070,0.091328
2025-09-08 23:52:15.320,1.077,0.094864
2025-09-08 23:52:15.327,1.084,0.106434
2025-09-08 23:52:15.334,1.091,0.110018
2025-09-08 23:52:15.341,1.098,0.113460
2025-09-08 23:52:15.348,1.105,0.121409
2025-09-08 23:52:15.355,1.112,0.113685
2025-09-08 23:52:15.362,1.119,0.117930
2025-09-08 23:52:15.369,1.126,0.125196
2025-09-08 23:52:15.376,1.133,0.124952
2025-09-08 23:52:15.383,1.140,0.129229
2025-09-08 23:52:15.390,1.147,0.136513
2025-09-08 23:52:15.397,1.154,0.124718
2025-09-08 23:52:15.404,1.161,0.121276
2025-09-08 23:52:15.411,1.168,0.132305
2025-09-08 23:52:15.418,1.175,0.129443
2025-09-08 23:52:15.425,1.182,0.136425
2025-09-08 23:52:15.432,1.189,0.143317
2025-09-08 23:52:15.439,1.196,0.139817
2025-09-08 23:52:15.446,1.203,0.132291
2025-09-08 23:52:15.453,1.210,0.128772
2025-09-08 23:52:15.460,1.216,0.140302
2025-09-08 23:52:15.467,1.223,0.147542
2025-09-08 23:52:15.474,1.230,0.144002
2025-09-08 23:52:15.481,1.237,0.147542
2025-09-08 23:52:15.488,1.244,0.136458
2025-09-08 23:52:15.495,1.251,0.143723
2025-09-08 23:52:15.502,1.258,0.147723
2025-09-08 23:52:15.509,1.265,0.150832
2025-09-08 23:52:15.516,1.272,0.132335
2025-09-08 23:52:15.523,1.279,0.147737
2025-09-08 23:52:15.530,1.286,0.154759
2025-09-08 23:52:15.537,1.293,0.158463
2025-09-08 23:52:15.544,1.300,0.147683
2025-09-08 23:52:15.550,1.307,0.140201
2025-09-08 23:52:15.557,1.314,0.140302
2025-09-08 23:52:15.564,1.321,0.148030
2025-09-08 23:52:15.571,1.328,0.162339
2025-09-08 23:52:15.578,1.335,0.158111
2025-09-08 23:52:15.585,1.342,0.165416
2025-09-08 23:52:15.592,1.349,0.162101
2025-09-08 23:52:15.599,1.356,0.155313
2025-09-08 23:52:15.606,1.363,0.162575
2025-09-08 23:52:15.613,1.370,0.180642
2025-09-08 23:52:15.620,1.377,0.169604
