timestamp,elapsed_time_s,abs_fz_N
2025-09-08 23:57:32.736,0.004,0.000605
2025-09-08 23:57:32.743,0.011,0.007627
2025-09-08 23:57:32.750,0.018,0.011385
2025-09-08 23:57:32.757,0.025,0.007617
2025-09-08 23:57:32.764,0.032,0.000076
2025-09-08 23:57:32.771,0.039,0.007119
2025-09-08 23:57:32.778,0.046,0.018871
2025-09-08 23:57:32.785,0.053,0.002928
2025-09-08 23:57:32.792,0.060,0.003896
2025-09-08 23:57:32.798,0.067,0.011802
2025-09-08 23:57:32.805,0.074,0.015342
2025-09-08 23:57:32.812,0.081,0.004561
2025-09-08 23:57:32.819,0.088,0.011204
2025-09-08 23:57:32.826,0.095,0.004146
2025-09-08 23:57:32.833,0.102,0.004098
2025-09-08 23:57:32.840,0.109,0.008047
2025-09-08 23:57:32.847,0.116,0.008091
2025-09-08 23:57:32.854,0.123,0.007682
2025-09-08 23:57:32.861,0.130,0.012128
2025-09-08 23:57:32.868,0.137,0.011849
2025-09-08 23:57:32.875,0.144,0.011704
2025-09-08 23:57:32.882,0.151,0.015937
2025-09-08 23:57:32.890,0.159,0.011634
2025-09-08 23:57:32.897,0.166,0.007617
2025-09-08 23:57:32.904,0.173,0.011156
2025-09-08 23:57:32.911,0.180,0.011650
2025-09-08 23:57:32.918,0.187,0.011893
2025-09-08 23:57:32.925,0.193,0.007573
2025-09-08 23:57:32.932,0.200,0.003862
2025-09-08 23:57:32.939,0.207,0.011570
2025-09-08 23:57:32.946,0.214,0.015345
2025-09-08 23:57:32.953,0.221,0.011395
2025-09-08 23:57:32.960,0.228,0.011610
2025-09-08 23:57:32.967,0.235,0.007110
2025-09-08 23:57:32.974,0.242,0.008642
2025-09-08 23:57:32.981,0.249,0.011516
2025-09-08 23:57:32.988,0.256,0.008309
2025-09-08 23:57:32.995,0.263,0.011147
2025-09-08 23:57:33.002,0.270,0.014881
2025-09-08 23:57:33.009,0.277,0.008554
2025-09-08 23:57:33.016,0.284,0.015624
2025-09-08 23:57:33.023,0.291,0.004322
2025-09-08 23:57:33.030,0.298,0.007866
2025-09-08 23:57:33.037,0.305,0.014837
2025-09-08 23:57:33.044,0.312,0.000591
2025-09-08 23:57:33.051,0.319,0.004370
2025-09-08 23:57:33.058,0.326,0.001065
2025-09-08 23:57:33.065,0.333,0.004366
2025-09-08 23:57:33.072,0.340,0.008101
2025-09-08 23:57:33.079,0.347,0.000373
2025-09-08 23:57:33.086,0.354,0.012084
2025-09-08 23:57:33.093,0.361,0.011395
2025-09-08 23:57:33.100,0.368,0.003345
2025-09-08 23:57:33.107,0.375,0.000591
2025-09-08 23:57:33.114,0.382,0.007530
2025-09-08 23:57:33.121,0.389,0.011802
2025-09-08 23:57:33.128,0.396,0.016033
2025-09-08 23:57:33.135,0.403,0.019617
2025-09-08 23:57:33.142,0.410,0.007855
2025-09-08 23:57:33.149,0.417,0.015567
2025-09-08 23:57:33.156,0.424,0.011627
2025-09-08 23:57:33.163,0.431,0.003580
2025-09-08 23:57:33.169,0.438,0.008087
2025-09-08 23:57:33.176,0.445,0.000514
2025-09-08 23:57:33.183,0.452,0.011392
2025-09-08 23:57:33.190,0.459,0.008327
2025-09-08 23:57:33.197,0.466,0.015375
2025-09-08 23:57:33.204,0.473,0.000884
