timestamp,elapsed_time_s,fz_value_N,operation
1757535266.8415976,0.000,-0.006730,lift
1757535266.8934278,0.052,0.003633,lift
1757535266.919358,0.078,0.000192,lift
1757535266.944292,0.103,0.007667,lift
1757535266.995155,0.154,0.010250,lift
1757535267.0200887,0.178,0.007387,lift
1757535267.0460196,0.204,0.007702,lift
1757535267.0968838,0.255,0.159567,lift
1757535267.1208196,0.279,0.255316,lift
1757535267.1477475,0.306,0.482045,lift
1757535267.1986115,0.357,0.425701,lift
1757535267.22155,0.380,0.016173,lift
1757535267.249475,0.408,0.008222,lift
1757535267.3003392,0.459,0.006413,lift
1757535267.3222823,0.481,0.007723,lift
1757535267.3512042,0.510,0.009846,lift
1757535267.4299932,0.588,0.010818,lift
1757535267.4678917,0.626,0.014461,lift
1757535267.5197537,0.678,0.006566,lift
1757535267.5307236,0.689,0.007245,lift
1757535267.5706165,0.729,0.006631,lift
1757535267.6214807,0.780,0.006288,lift
1757535267.6314542,0.790,0.010735,lift
1757535267.6723452,0.831,0.010053,lift
1757535267.7232091,0.882,0.010832,lift
1757535267.733183,0.892,0.003501,lift
1757535267.7750704,0.933,0.000251,lift
1757535267.8259344,0.984,-0.001137,lift
1757535267.833913,0.992,-0.003891,lift
1757535267.8762417,1.035,0.007265,lower
1757535267.9410706,1.099,0.003501,lower
1757535267.9839566,1.142,0.010741,lower
1757535268.0348194,1.193,-0.004032,lower
1757535268.0418015,1.200,0.002322,lower
1757535268.085683,1.244,-0.001060,lower
1757535268.1365476,1.295,0.001705,lower
1757535268.1425319,1.301,-0.003230,lower
1757535268.187412,1.346,0.002603,lower
1757535268.2382753,1.397,0.002349,lower
1757535268.2432623,1.402,0.006206,lower
1757535268.2891395,1.448,0.007311,lower
1757535268.3410013,1.499,0.011024,lower
1757535268.343993,1.502,0.011024,lower
1757535268.391865,1.550,0.007124,lower
1757535268.454697,1.613,-0.117734,lower
1757535268.5135396,1.672,-0.305121,lower
1757535268.5644042,1.723,-0.557243,lower
1757535268.615267,1.774,-0.490431,lower
1757535268.62923,1.788,-0.487704,lower
1757535268.6661315,1.825,-0.470710,lower
1757535268.716996,1.875,-0.490458,lower
1757535268.729961,1.888,-0.471532,lower
1757535268.76786,1.926,-0.457156,lower
1757535268.8187242,1.977,-0.448741,lower
1757535268.830692,1.989,-0.444841,lower
1757535268.8695877,2.028,-0.437490,lower
1757535268.9201462,2.079,-0.449983,lower
1757535268.9311166,2.090,-0.453779,lower
1757535268.9710104,2.129,-0.476577,lower
1757535269.039826,2.198,-0.496551,lower
1757535269.073736,2.232,-0.503160,lower
1757535269.1245997,2.283,-0.493792,lower
1757535269.1415555,2.300,-0.497121,lower
1757535269.176461,2.335,-0.508163,lower
1757535269.2273252,2.386,-0.496222,lower
1757535269.242285,2.401,-0.502479,lower
1757535269.2781887,2.437,-0.519902,lower
1757535269.3300498,2.488,-0.512877,lower
1757535269.3440127,2.502,-0.506103,lower
1757535269.3809152,2.539,-0.511548,lower
1757535269.4317796,2.590,-0.487246,lower
1757535269.4447439,2.603,-0.495963,lower
1757535269.4826431,2.641,-0.494263,lower
1757535269.5534532,2.712,-0.482540,lower
1757535269.5833728,2.742,-0.494347,lower
1757535269.6342373,2.793,-0.486360,lower
1757535269.6541834,2.813,-0.493332,lower
1757535269.6860995,2.845,-0.493613,lower
1757535269.7369633,2.895,-0.493523,lower
1757535269.7559114,2.914,-0.482570,lower
1757535269.787826,2.946,-0.496839,lower
1757535269.8386903,2.997,-0.507672,lower
1757535269.8566427,3.015,-0.485639,lower
1757535269.8912363,3.050,-0.494182,cw
1757535269.9421005,3.101,-0.493860,cw
1757535269.95706,3.115,-0.489835,cw
1757535269.992964,3.151,-0.483514,cw
1757535270.0627773,3.221,-0.463984,cw
1757535270.1046655,3.263,-0.467362,cw
1757535270.15553,3.314,-0.450939,cw
1757535270.1635082,3.322,-0.450476,cw
1757535270.2063937,3.365,-0.443940,cw
1757535270.258255,3.417,-0.431048,cw
1757535270.2652364,3.424,-0.434955,cw
1757535270.3091192,3.468,-0.417838,cw
1757535270.3599827,3.518,-0.422356,cw
1757535270.3659668,3.524,-0.422083,cw
1757535270.4118443,3.570,-0.417905,cw
1757535270.462708,3.621,-0.414778,cw
1757535270.4676945,3.626,-0.418362,cw
1757535270.5135717,3.672,-0.425525,cw
1757535270.5744097,3.733,-0.414560,cw
1757535270.6272688,3.786,-0.417894,cw
1757535270.6781323,3.837,-0.418046,cw
1757535270.728478,3.887,-0.422254,cw
1757535270.728478,3.887,-0.422254,cw
1757535270.7793422,3.938,-0.425868,cw
1757535270.8292081,3.988,-0.410781,cw
1757535270.8302057,3.989,-0.410781,cw
1757535270.8810701,4.039,-0.418015,cw
1757535270.9297035,4.088,-0.410586,cw
1757535270.931698,4.090,-0.410586,ccw
1757535270.9825633,4.141,-0.416928,ccw
1757535271.0304344,4.189,-0.434803,ccw
1757535271.0344234,4.193,-0.422362,ccw
1757535271.0852873,4.244,-0.425072,ccw
1757535271.1381457,4.297,-0.426733,ccw
1757535271.1800344,4.338,-0.430042,ccw
1757535271.2308989,4.389,-0.450676,ccw
1757535271.2388773,4.397,-0.451484,ccw
1757535271.2817626,4.440,-0.453533,ccw
1757535271.332626,4.491,-0.453014,ccw
1757535271.339608,4.498,-0.449583,ccw
1757535271.3834903,4.542,-0.453588,ccw
1757535271.4343548,4.593,-0.466742,ccw
1757535271.4403389,4.599,-0.463190,ccw
1757535271.4852183,4.644,-0.464311,ccw
1757535271.5360827,4.694,-0.453609,ccw
1757535271.5420663,4.700,-0.457512,ccw
1757535271.5869462,4.745,-0.442267,ccw
1757535271.646786,4.805,-0.443012,ccw
1757535271.6896722,4.848,-0.442472,ccw
1757535271.7401059,4.899,-0.450942,ccw
1757535271.747087,4.905,-0.447634,ccw
1757535271.7919674,4.950,-0.454357,ccw
1757535271.8428319,5.001,-0.444349,ccw
1757535271.8488157,5.007,-0.439832,ccw
1757535271.893697,5.052,-0.439620,ccw
1757535271.943959,5.102,-0.447824,cw
1757535271.9838526,5.142,-0.436681,cw
1757535271.9958193,5.154,-0.448140,cw
1757535272.0466838,5.205,-0.429278,cw
1757535272.0855792,5.244,-0.437534,cw
1757535272.097547,5.256,-0.431491,cw
1757535272.1912966,5.350,-0.421273,cw
1757535272.1952872,5.354,-0.417835,cw
1757535272.246151,5.405,-0.415030,cw
1757535272.293025,5.451,-0.408338,cw
1757535272.297014,5.455,-0.408338,cw
1757535272.3488758,5.507,-0.394256,cw
1757535272.3937557,5.552,-0.398282,cw
1757535272.39974,5.558,-0.394443,cw
1757535272.4506032,5.609,-0.398293,cw
1757535272.495483,5.654,-0.394343,cw
