timestamp,elapsed_time_s,abs_fz_N
2025-09-08 23:36:52.186,0.007,0.000092
2025-09-08 23:36:52.193,0.014,0.004411
2025-09-08 23:36:52.200,0.021,0.007154
2025-09-08 23:36:52.207,0.028,0.000382
2025-09-08 23:36:52.214,0.035,0.000791
2025-09-08 23:36:52.221,0.042,0.000243
2025-09-08 23:36:52.229,0.050,0.003890
2025-09-08 23:36:52.236,0.057,0.003676
2025-09-08 23:36:52.243,0.064,0.006951
2025-09-08 23:36:52.250,0.071,0.007288
2025-09-08 23:36:52.257,0.078,0.003059
2025-09-08 23:36:52.264,0.085,0.000306
2025-09-08 23:36:52.271,0.092,0.007839
2025-09-08 23:36:52.278,0.099,0.006525
2025-09-08 23:36:52.285,0.106,0.003611
2025-09-08 23:36:52.292,0.113,0.000502
2025-09-08 23:36:52.299,0.120,0.003588
2025-09-08 23:36:52.306,0.127,0.000044
2025-09-08 23:36:52.313,0.134,0.003180
2025-09-08 23:36:52.320,0.141,0.007835
2025-09-08 23:36:52.327,0.148,0.010545
2025-09-08 23:36:52.334,0.155,0.007667
2025-09-08 23:36:52.341,0.162,0.000426
2025-09-08 23:36:52.348,0.169,0.010971
2025-09-08 23:36:52.355,0.176,0.003438
2025-09-08 23:36:52.362,0.183,0.004548
2025-09-08 23:36:52.369,0.189,0.007173
2025-09-08 23:36:52.376,0.196,0.003850
2025-09-08 23:36:52.383,0.203,0.000555
2025-09-08 23:36:52.390,0.210,0.004440
2025-09-08 23:36:52.397,0.217,0.007766
2025-09-08 23:36:52.404,0.224,0.003680
2025-09-08 23:36:52.411,0.231,0.003223
2025-09-08 23:36:52.418,0.238,0.000360
2025-09-08 23:36:52.425,0.245,0.007386
2025-09-08 23:36:52.432,0.252,0.003533
2025-09-08 23:36:52.439,0.259,0.000426
2025-09-08 23:36:52.446,0.266,0.000092
2025-09-08 23:36:52.453,0.273,0.007843
2025-09-08 23:36:52.460,0.280,0.000964
2025-09-08 23:36:52.467,0.287,0.000555
2025-09-08 23:36:52.474,0.294,0.000542
2025-09-08 23:36:52.481,0.301,0.004041
2025-09-08 23:36:52.488,0.308,0.003301
2025-09-08 23:36:52.495,0.315,0.000502
2025-09-08 23:36:52.502,0.322,0.007741
2025-09-08 23:36:52.509,0.329,0.000578
2025-09-08 23:36:52.516,0.336,0.002945
2025-09-08 23:36:52.523,0.343,0.000287
2025-09-08 23:36:52.530,0.350,0.000502
2025-09-08 23:36:52.537,0.357,0.007768
2025-09-08 23:36:52.544,0.364,0.003802
2025-09-08 23:36:52.551,0.371,0.003442
2025-09-08 23:36:52.557,0.378,0.015318
2025-09-08 23:36:52.564,0.385,0.003563
2025-09-08 23:36:52.571,0.392,0.011156
2025-09-08 23:36:52.578,0.399,0.004085
2025-09-08 23:36:52.585,0.406,0.000093
2025-09-08 23:36:52.592,0.413,0.000048
2025-09-08 23:36:52.599,0.420,0.007342
2025-09-08 23:36:52.606,0.427,0.000306
2025-09-08 23:36:52.613,0.434,0.003846
2025-09-08 23:36:52.620,0.441,0.008371
2025-09-08 23:36:52.627,0.448,0.004041
2025-09-08 23:36:52.634,0.455,0.000230
2025-09-08 23:36:52.641,0.462,0.003227
2025-09-08 23:36:52.648,0.469,0.000599
2025-09-08 23:36:52.655,0.476,0.000555
2025-09-08 23:36:52.662,0.483,0.002941
2025-09-08 23:36:52.669,0.490,0.003213
2025-09-08 23:36:52.676,0.497,0.003783
