diameter,tilt,steps,measured_angle
3,10,88.9375,89.71
3,10,88.9375,87.52
3,10,88.9375,87.22
3,10,133.4375,134.78
3,10,133.4375,133.99
3,10,133.4375,133.71
3,10,133.4375,132.44
3,10,133.4375,132.23
3,20,9.9375,10.63
3,20,9.9375,7.62
3,20,9.9375,7.59
3,20,9.9375,7.57
3,20,9.9375,7.57
3,20,9.9375,7.53
3,20,44.75,44.4
3,20,44.75,44.31
3,20,44.75,43.75
3,20,44.75,43.41
3,20,44.75,43.33
3,20,44.75,42.75
3,20,44.75,42.54
3,20,44.75,42.41
3,20,89.5,90.23
3,20,89.5,88.95
3,20,89.5,87.15
3,20,89.5,85.88
3,20,134.25,135.85
3,20,134.25,134.86
3,20,134.25,130.89
3,20,134.25,130.53
3,20,9.875,10.45
3,20,9.875,7.9
3,20,9.875,7.67
3,20,9.875,7.58
3,20,9.875,7.56
3,20,9.875,6.72
3,20,44.5,44.82
3,20,44.5,44.12
3,20,44.5,43.93
3,20,44.5,43.87
3,20,44.5,43.7
3,20,44.5,43.2
3,20,44.5,42.7
3,20,44.5,42.31
3,20,88.9375,91.37
3,20,88.9375,88.35
3,20,88.9375,87.31
3,20,88.9375,86.65
3,20,133.4375,133.17
3,20,133.4375,130.65
3,30,9.9375,10.13
3,30,44.75,48.88
3,30,44.75,41.26
3,30,44.75,40.53
3,30,89.5,97.44
3,30,89.5,85.19
3,30,89.5,81.87
3,30,134.25,127.1
3,30,134.25,126.82
3,30,134.25,125.54
3,30,134.25,125.51
3,30,9.875,7.82
3,30,44.5,44.15
3,30,44.5,43.31
3,30,44.5,42.57
3,30,44.5,42.25
3,30,44.5,40.85
3,30,44.5,40.75
3,30,44.5,40.18
3,30,88.9375,85.52
3,30,88.9375,84.01
3,30,88.9375,83.25
3,30,88.9375,82.65
3,30,88.9375,82.63
3,30,133.4375,124.69
3,30,133.4375,124.63
3,30,133.4375,124.5
3,30,133.4375,124.21
3,30,133.4375,123.88
3,30,133.4375,122.81
4,0,12.9375,9.11
4,0,12.9375,9.02
4,0,12.9375,8.93
4,0,12.9375,8.9
4,0,12.9375,8.82
4,0,58.1875,44.18
4,0,58.1875,43.87
