diameter,direction,tilt,cos_tilt,steps,stepper_travel,measured_angle,k_wire,c_wire,predicted_angle,error,adj_predicted_angle,adj_error
1,cw,20,0.939692621,20,0.508,18.41,1.362,-5.952,21.288,2.878,19.645227,1.235226996
1,ccw,20,0.939692621,20,0.508,17.46,1.362,-5.952,21.288,3.828,19.645227,2.185226996
1,ccw,20,0.939692621,25,0.635,21.19,1.362,-5.952,28.098,6.908,26.04453375,4.854533745
1,ccw,20,0.939692621,25,0.635,22.77,1.362,-5.952,28.098,5.328,26.04453375,3.274533745
1,cw,20,0.939692621,25,0.635,24.71,1.362,-5.952,28.098,3.388,26.04453375,1.334533745
1,cw,20,0.939692621,25,0.635,26.41,1.362,-5.952,28.098,1.688,26.04453375,-0.365466255
1,ccw,20,0.939692621,25,0.635,24.16,1.362,-5.952,28.098,3.938,26.04453375,1.884533745
1,cw,20,0.939692621,30,0.762,32.45,1.362,-5.952,34.908,2.458,32.44384049,-0.006159506
1,ccw,20,0.939692621,30,0.762,31.62,1.362,-5.952,34.908,3.288,32.44384049,0.823840494
1,cw,20,0.939692621,30,0.762,28.53,1.362,-5.952,34.908,6.378,32.44384049,3.913840494
1,cw,20,0.939692621,30,0.762,31.35,1.362,-5.952,34.908,3.558,32.44384049,1.093840494
1,ccw,20,0.939692621,30,0.762,28.27,1.362,-5.952,34.908,6.638,32.44384049,4.173840494
1,cw,30,0.866025404,10,0.254,7.78,1.362,-5.952,7.668,-0.112,5.843266002,-1.936733998
1,ccw,30,0.866025404,10,0.254,6.19,1.362,-5.952,7.668,1.478,5.843266002,-0.346733998
1,cw,30,0.866025404,10,0.254,8.16,1.362,-5.952,7.668,-0.492,5.843266002,-2.316733998
1,cw,30,0.866025404,10,0.254,7.73,1.362,-5.952,7.668,-0.062,5.843266002,-1.886733998
1,ccw,30,0.866025404,10,0.254,5.87,1.362,-5.952,7.668,1.798,5.843266002,-0.026733998
1,cw,30,0.866025404,15,0.381,11.8,1.362,-5.952,14.478,2.678,11.740899,-0.059100996
1,ccw,30,0.866025404,15,0.381,11.63,1.362,-5.952,14.478,2.848,11.740899,0.110899004
1,cw,30,0.866025404,15,0.381,12.89,1.362,-5.952,14.478,1.588,11.740899,-1.149100996
1,ccw,30,0.866025404,15,0.381,11.35,1.362,-5.952,14.478,3.128,11.740899,0.390899004
1,cw,30,0.866025404,15,0.381,12.74,1.362,-5.952,14.478,1.738,11.740899,-0.999100996
1,cw,30,0.866025404,20,0.508,15.35,1.362,-5.952,21.288,5.938,17.638532,2.288532005
1,ccw,30,0.866025404,20,0.508,14.96,1.362,-5.952,21.288,6.328,17.638532,2.678532005
1,cw,30,0.866025404,20,0.508,18.14,1.362,-5.952,21.288,3.148,17.638532,-0.501467995
1,ccw,30,0.866025404,20,0.508,15.14,1.362,-5.952,21.288,6.148,17.638532,2.498532005
1,cw,30,0.866025404,20,0.508,17.94,1.362,-5.952,21.288,3.348,17.638532,-0.301467995
1,cw,30,0.866025404,25,0.635,23.71,1.362,-5.952,28.098,4.388,23.53616501,-0.173834994
1,ccw,30,0.866025404,25,0.635,22.18,1.362,-5.952,28.098,5.918,23.53616501,1.356165006
1,ccw,30,0.866025404,25,0.635,22.06,1.362,-5.952,28.098,6.038,23.53616501,1.476165006
1,cw,30,0.866025404,25,0.635,21.36,1.362,-5.952,28.098,6.738,23.53616501,2.176165006
1,ccw,30,0.866025404,25,0.635,21.72,1.362,-5.952,28.098,6.378,23.53616501,1.816165006
1,ccw,30,0.866025404,30,0.762,26.98,1.362,-5.952,34.908,7.928,29.43379801,2.453798007
1,ccw,30,0.866025404,30,0.762,28.89,1.362,-5.952,34.908,6.018,29.43379801,0.543798007
1,ccw,30,0.866025404,30,0.762,28.45,1.362,-5.952,34.908,6.458,29.43379801,0.983798007
1,cw,30,0.866025404,30,0.762,26.75,1.362,-5.952,34.908,8.158,29.43379801,2.683798007
1,ccw,30,0.866025404,30,0.762,29.96,1.362,-5.952,34.908,4.948,29.43379801,-0.526201993
