diameter,direction,tilt,cos_tilt,steps,stepper_travel,measured_angle,avg_offset,ideal_rnp_angle,k_rod,k_rod_avg,c_rod,predicted_angle,error
2,ccw,10,0.984807753,58.8125,1.4938375,92.04,-1.216,168.5805415,0.545970485,0.534,-0.431,89.59100915,-2.448990854
2,ccw,10,0.984807753,58.8125,1.4938375,91.55,-1.216,168.5805415,0.543063863,0.534,-0.431,89.59100915,-1.958990854
2,ccw,10,0.984807753,58.8125,1.4938375,89.45,-1.216,168.5805415,0.530606909,0.534,-0.431,89.59100915,0.141009146
2,ccw,10,0.984807753,58.8125,1.4938375,84.53,-1.216,168.5805415,0.501422046,0.534,-0.431,89.59100915,5.061009146
2,ccw,10,0.984807753,88.1875,2.2399625,133.86,-1.216,252.781237,0.529548797,0.534,-0.431,134.5541806,0.694180558
2,ccw,10,0.984807753,88.1875,2.2399625,132.77,-1.216,252.781237,0.525236768,0.534,-0.431,134.5541806,1.784180558
2,ccw,10,0.984807753,88.1875,2.2399625,132.09,-1.216,252.781237,0.522546695,0.534,-0.431,134.5541806,2.464180558
2,ccw,10,0.984807753,88.1875,2.2399625,131.41,-1.216,252.781237,0.519856622,0.534,-0.431,134.5541806,3.144180558
2,ccw,10,0.984807753,88.1875,2.2399625,131.34,-1.216,252.781237,0.519579703,0.534,-0.431,134.5541806,3.214180558
2,cw,10,0.984807753,6.5,0.1651,9.5,-1.216,18.63164327,0.509885245,0.534,-0.431,9.518297504,0.018297504
2,cw,10,0.984807753,6.5,0.1651,8.5,-1.216,18.63164327,0.456213114,0.534,-0.431,9.518297504,1.018297504
2,cw,10,0.984807753,6.5,0.1651,8.45,-1.216,18.63164327,0.453529508,0.534,-0.431,9.518297504,1.068297504
2,cw,10,0.984807753,6.5,0.1651,8.25,-1.216,18.63164327,0.442795082,0.534,-0.431,9.518297504,1.268297504
2,cw,10,0.984807753,6.5,0.1651,6.84,-1.216,18.63164327,0.367117377,0.534,-0.431,9.518297504,2.678297504
2,cw,10,0.984807753,29.3125,0.7445375,42.53,-1.216,84.02154511,0.506179694,0.534,-0.431,44.43650509,1.90650509
2,cw,10,0.984807753,29.3125,0.7445375,42.11,-1.216,84.02154511,0.501180976,0.534,-0.431,44.43650509,2.32650509
2,cw,10,0.984807753,29.3125,0.7445375,41.9,-1.216,84.02154511,0.498681617,0.534,-0.431,44.43650509,2.53650509
2,cw,10,0.984807753,29.3125,0.7445375,41.78,-1.216,84.02154511,0.497253412,0.534,-0.431,44.43650509,2.65650509
