diameter,grip_strength,direction,steps,initial_angle,target_angle,measured_angle,error,tilt
5,0.8694,cw,73.9375,45.0,45,42.37,-2.63,30.0
5,0.7837,cw,73.9375,90.0,45,40.73,-4.27,30.0
5,0.7259,cw,73.9375,135.0,45,40.69,-4.31,30.0
5,0.8121,ccw,73.75,0.0,45,40.53,-4.47,30.0
5,0.7718,ccw,73.75,-90.0,45,48.05,3.05,30.0
5,0.7586,cw,73.9375,-135.0,45,41.68,-3.32,30.0
5,0.6923,cw,73.9375,-90.0,45,40.62,-4.38,30.0
5,0.7197,cw,73.9375,-45.0,45,41.07,-3.93,30.0
5,0.7773,cw,73.9375,0.0,45,40.58,-4.42,30.0
5,0.7503,cw,147.875,90.0,90,82.78,-7.22,30.0
5,0.7223,cw,147.875,180.0,90,84.35,-5.65,30.0
5,0.7258,ccw,147.5,0.0,90,84.05,-5.95,30.0
5,0.7505,ccw,147.5,-180.0,90,95.62,5.62,30.0
5,0.7779,cw,147.875,-90.0,90,82.74,-7.26,30.0
5,0.7843,cw,147.875,0.0,90,83.58,-6.42,30.0
4,0.7188,cw,172.375,135.0,135,120.94,-14.06,30.0
4,0.7578,ccw,174.5,0.0,135,122.67,-12.33,30.0
4,0.8193,cw,172.375,0.0,135,123.05,-11.95,30.0
4,0.7309,cw,172.375,135.0,135,121.32,-13.68,30.0
4,0.7276,ccw,174.5,0.0,135,122.89,-12.11,30.0
4,0.646,cw,114.875,180.0,90,82.78,-7.22,30.0
4,0.8189,ccw,116.375,0.0,90,83.8,-6.2,30.0
4,0.8955,ccw,116.375,-180.0,90,96.82,6.82,30.0
4,0.7668,cw,114.875,-90.0,90,80.44,-9.56,30.0
4,0.7203,cw,114.875,0.0,90,81.4,-8.6,30.0
4,0.7437,cw,57.4375,45.0,45,41.77,-3.23,30.0
4,0.7594,cw,57.4375,90.0,45,39.79,-5.21,30.0
4,0.822,cw,57.4375,135.0,45,40.22,-4.78,30.0
4,0.7583,cw,57.4375,180.0,45,39.14,-5.86,30.0
4,0.7567,ccw,58.1875,0.0,45,40.37,-4.63,30.0
4,0.7768,ccw,58.1875,-90.0,45,46.59,1.59,30.0
4,0.81,cw,57.4375,0.0,45,41.12,-3.88,30.0
4,0.7719,cw,57.4375,45.0,45,39.14,-5.86,30.0
4,0.7261,ccw,58.1875,0.0,45,42.02,-2.98,30.0
4,0.7188,cw,12.75,10.0,10,10.35,0.35,30.0
4,0.7271,cw,12.75,20.0,10,7.92,-2.08,30.0
4,0.7297,cw,12.75,30.0,10,8.34,-1.66,30.0
4,0.7133,cw,12.75,40.0,10,8.7,-1.3,30.0
4,0.763,cw,12.75,50.0,10,8.4,-1.6,30.0
4,0.7579,ccw,12.9375,-20.0,10,11.68,1.68,30.0
4,0.6691,cw,12.75,10.0,10,8.91,-1.09,30.0
4,0.7243,cw,12.75,20.0,10,8.73,-1.27,30.0
4,0.7545,ccw,12.9375,0.0,10,8.4,-1.6,30.0
3,0.7379,cw,9.875,10.0,10,7.82,-2.18,30.0
3,0.7685,ccw,9.9375,0.0,10,10.13,0.13,30.0
3,0.7998,cw,44.5,45.0,45,44.15,-0.85,30.0
3,0.7069,cw,44.5,90.0,45,40.85,-4.15,30.0
3,0.7217,cw,44.5,135.0,45,42.25,-2.75,30.0
3,0.6896,ccw,44.75,0.0,45,40.53,-4.47,30.0
3,0.7427,ccw,44.75,-90.0,45,48.88,3.88,30.0
3,0.7446,cw,44.5,-90.0,45,43.31,-1.69,30.0
3,0.6873,cw,44.5,-45.0,45,40.18,-4.82,30.0
3,0.7788,cw,44.5,0.0,45,42.57,-2.43,30.0
3,0.7655,cw,44.5,45.0,45,40.75,-4.25,30.0
3,0.7499,ccw,44.75,0.0,45,41.26,-3.74,30.0
3,0.6847,cw,88.9375,90.0,90,83.25,-6.75,30.0
3,0.7406,cw,88.9375,180.0,90,82.65,-7.35,30.0
3,0.6796,ccw,89.5,0.0,90,81.87,-8.13,30.0
3,0.7575,ccw,89.5,-180.0,90,97.44,7.44,30.0
3,0.7623,cw,88.9375,-90.0,90,85.52,-4.48,30.0
3,0.7653,cw,88.9375,0.0,90,82.63,-7.37,30.0
3,0.76,cw,88.9375,90.0,90,84.01,-5.99,30.0
3,0.7622,ccw,89.5,0.0,90,85.19,-4.81,30.0
3,0.7753,cw,133.4375,135.0,135,124.69,-10.31,30.0
3,0.7391,ccw,134.25,0.0,135,125.54,-9.46,30.0
3,0.755,cw,133.4375,0.0,135,124.5,-10.5,30.0
3,0.7527,cw,133.4375,135.0,135,122.81,-12.19,30.0
3,0.7651,ccw,134.25,0.0,135,125.51,-9.49,30.0
3,0.6905,cw,133.4375,135.0,135,124.63,-10.37,30
3,0.8592,ccw,134.25,0.0,135,127.1,-7.9,30
3,0.7106,cw,133.4375,0.0,135,123.88,-11.12,30
3,0.7004,cw,133.4375,135.0,135,124.21,-10.79,30.0
